Site,Spp,Elongation S,Elongation E,M.Flower,Seed,Senescence
SAL_1C,triglu,27-Jul,01-Aug,31-Jul,19-Aug,14-Aug
SAL_2W,triglu,25-Jul,28-Jul,29-Jul,17-Aug,13-Sep
SAL_3C,triglu,24-Jul,29-Jul,27-Jul,16-Aug,11-Sep
SAL_4W,triglu,23-Jul,31-Jul,29-Jul,18-Aug,09-Sep
SAL_5C,triglu,24-Jul,30-Jul,28-Jul,19-Aug,08-Sep
SAL_7C,triglu,25-Jul,30-Jul,29-Jul,17-Aug,11-Sep
SAL_8W,triglu,n/a,n/a,n/a,n/a,n/a
CASS_9C,triglu,22-Jul,31-Jul,30-Jul,17-Aug,14-Sep
CASS_10W,triglu,26-Jul,01-Aug,31-Jul,21-Aug,15-Sep
CASS_11C,triglu,24-Jul,31-Jul,31-Jul,17-Aug,14-Sep
CASS_12W,triglu,24-Jul,02-Aug,31-Jul,23-Aug,08-Sep
CASS_13C,triglu,23-Jul,01-Aug,02-Aug,18-Aug,13-Sep
CASS_14W,triglu,27-Jul,01-Aug,04-Aug,26-Aug,14-Sep
CASS_16W,triglu,25-Jul,30-Jul,30-Jul,20-Aug,08-Sep
